Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
M,65,married,0,,white,citizen,yes,english
F,23,not married,10.5,40,white,citizen,yes,english
F,68,not married,17.1,40,white,citizen,yes,english
M,19,not married,0,,other,citizen,yes,english
M,19,not married,0,,white,citizen,yes,english
F,26,married,45,40,white,citizen,yes,english
F,30,not married,1.1,40,black,citizen,no,english
F,29,not married,17,40,white,citizen,yes,english
M,37,married,15.1,30,white,not citizen,yes,english
F,66,married,0,,black,citizen,yes,english
F,49,not married,47.9,40,white,citizen,yes,english
M,55,married,0,40,white,citizen,yes,english
M,5,not married,NA,,other,citizen,no,other
M,43,not married,50,40,white,citizen,yes,english
M,21,not married,1.5,30,asian,citizen,no,other
F,1,not married,NA,,white,citizen,no,english
M,57,married,0.8,24,white,citizen,yes,english
M,35,not married,13,20,white,citizen,yes,other
F,56,not married,23,60,white,citizen,yes,english
F,34,not married,30.2,44,white,citizen,yes,english
F,16,married,0,,white,citizen,yes,english
F,18,not married,1,12,white,citizen,yes,english
F,16,not married,0,,white,citizen,no,other
F,47,not married,10,32,white,citizen,yes,english
M,8,not married,NA,,white,citizen,yes,english
M,30,not married,60,50,white,citizen,yes,english
M,53,married,75,45,white,citizen,no,english
F,55,married,3.8,16,white,citizen,yes,english
M,48,married,47,40,other,citizen,yes,other
M,50,not married,52,27,white,citizen,no,english
M,54,married,57,40,white,citizen,yes,english
M,16,not married,0,,white,citizen,yes,english
M,52,not married,28.9,43,white,citizen,yes,english
F,48,married,15,35,black,citizen,yes,english
M,58,married,72,40,asian,not citizen,yes,other
F,43,married,6,40,black,citizen,no,english
M,6,not married,NA,,black,citizen,yes,english
F,10,not married,NA,,other,citizen,yes,other
F,15,not married,0,,white,citizen,yes,english
M,28,not married,14,25,white,citizen,yes,english
F,11,not married,NA,,white,citizen,yes,english
F,44,married,0,,other,citizen,yes,english
F,25,not married,38,48,black,citizen,yes,other
M,25,not married,0.56,7,white,citizen,no,english
F,45,not married,4.9,35,white,citizen,yes,english
F,62,married,15,20,white,citizen,yes,english
F,46,married,4.1,30,white,citizen,yes,other
F,41,married,50,50,asian,citizen,yes,other
F,27,married,52,45,white,citizen,yes,english
F,6,not married,NA,,black,citizen,yes,english
M,61,married,85,40,white,citizen,yes,english
F,59,married,29.7,40,white,citizen,yes,english
M,74,married,0,,white,citizen,yes,english
M,44,married,65,48,white,citizen,yes,english
F,45,not married,0,,white,citizen,no,english
F,4,not married,NA,,white,citizen,yes,english
M,70,not married,0,,white,citizen,yes,english
F,50,married,16,30,white,citizen,yes,english
F,19,not married,0,,white,citizen,no,english
F,74,married,0,,white,citizen,yes,english
F,71,married,0,,white,citizen,yes,english
F,47,married,5.5,25,white,citizen,yes,english
M,49,married,36,40,asian,citizen,yes,other
M,25,not married,7.8,35,white,citizen,yes,english
M,57,married,0,,asian,citizen,yes,other
M,65,married,0,,white,citizen,yes,english
M,79,married,0,,white,citizen,yes,english
M,66,not married,0,,white,citizen,yes,english
F,22,not married,17.5,35,white,citizen,yes,english
F,76,not married,0,,asian,citizen,yes,other
F,10,not married,NA,,white,not citizen,no,other
M,41,married,563,62,white,citizen,yes,other
F,46,married,0,,white,not citizen,yes,other
M,0,not married,NA,,white,citizen,yes,english
F,41,not married,0,,asian,not citizen,yes,english
F,3,not married,NA,,white,citizen,yes,english
F,42,married,14,20,white,citizen,yes,english
M,42,married,25,50,white,not citizen,no,other
M,61,married,0,,white,citizen,yes,english
M,63,married,0,,white,citizen,yes,other
F,20,not married,2,25,white,citizen,yes,english
F,60,not married,47,35,asian,citizen,yes,other
F,69,not married,0,,white,citizen,yes,other
F,47,married,33,40,white,citizen,yes,english
F,13,not married,NA,,asian,not citizen,yes,other
F,9,not married,NA,,white,citizen,yes,other
F,49,married,94,36,white,citizen,yes,english
M,37,married,97,65,white,citizen,yes,other
M,62,married,0,,white,citizen,yes,english
F,80,married,0,,white,citizen,yes,other
M,27,married,60,40,white,citizen,yes,english
F,32,married,70,36,white,citizen,yes,english
M,41,married,90,40,asian,not citizen,yes,other
M,41,married,60,40,white,citizen,yes,english
M,46,not married,60,48,white,citizen,yes,english
F,36,married,20,20,white,citizen,yes,other
M,42,married,80,60,asian,not citizen,yes,other
F,15,not married,0,,white,citizen,yes,english
F,15,not married,0,,other,citizen,yes,other
F,67,not married,0,,white,citizen,yes,english
M,93,not married,0,,white,citizen,yes,english
F,9,not married,NA,,white,citizen,yes,english
F,82,not married,0,,white,citizen,yes,english
F,49,married,16,30,asian,citizen,yes,other
F,17,not married,0,,white,citizen,yes,other
M,29,married,0,40,white,not citizen,no,other
M,64,married,33.3,40,white,citizen,yes,english
F,45,married,382,55,white,citizen,yes,english
M,64,not married,0,,white,citizen,yes,english
M,51,not married,90,50,white,citizen,yes,english
F,0,not married,NA,,white,citizen,yes,english
M,53,married,40,32,white,citizen,yes,english
F,50,married,45,40,white,citizen,yes,english
M,9,not married,NA,,white,citizen,yes,english
M,74,married,0,,white,citizen,yes,english
F,41,not married,55,40,white,citizen,yes,english
F,52,married,70,40,white,citizen,yes,english
M,67,married,0,,white,citizen,yes,english
F,38,married,24,40,white,citizen,yes,english
F,6,not married,NA,,white,citizen,yes,english
F,1,not married,NA,,white,citizen,yes,english
F,50,not married,0,,white,citizen,yes,english
M,33,not married,40,24,asian,citizen,no,other
M,8,not married,NA,,white,citizen,yes,english
M,11,not married,NA,,white,citizen,yes,other
M,62,married,56,40,white,citizen,yes,english
M,36,married,85,38,white,citizen,yes,english
M,30,not married,9,20,black,citizen,no,english
F,60,married,0,,white,citizen,yes,english
M,63,married,82,32,asian,citizen,yes,other
M,35,married,62,70,asian,citizen,yes,other
M,22,not married,0.7,25,white,citizen,yes,english
M,16,not married,0,,white,citizen,yes,english
F,41,not married,59,68,black,citizen,yes,english
M,10,not married,NA,,white,citizen,yes,english
F,21,not married,8,40,white,citizen,yes,english
M,29,not married,2,20,asian,not citizen,no,other
M,17,not married,0,,white,citizen,yes,english
F,68,married,0,,white,citizen,yes,english
M,31,not married,22.1,45,white,citizen,yes,english
M,40,married,30,45,white,citizen,yes,english
F,45,not married,25,40,white,citizen,yes,english
M,5,not married,NA,,other,citizen,yes,other
F,19,not married,2,25,white,citizen,yes,english
F,86,married,0,,white,citizen,yes,english
F,41,not married,31.2,40,white,citizen,yes,english
F,26,married,51,45,white,citizen,yes,english
F,32,married,0,,white,citizen,yes,english
F,33,not married,0,,white,citizen,yes,english
F,77,not married,0,,white,citizen,yes,english
F,9,not married,NA,,white,citizen,yes,english
M,30,married,16,20,other,not citizen,no,other
F,54,not married,0,,white,citizen,yes,english
F,23,not married,0,,white,citizen,no,english
F,37,married,28.9,40,white,citizen,yes,english
F,0,not married,NA,,white,citizen,yes,english
F,46,married,0.8,23,white,citizen,yes,english
F,3,not married,NA,,black,citizen,yes,english
M,8,not married,NA,,black,citizen,yes,english
F,28,not married,105,50,white,citizen,yes,english
F,56,married,27,40,white,citizen,yes,english
F,47,married,10,8,white,citizen,no,other
F,29,married,0,,white,citizen,yes,english
M,21,not married,0,,asian,citizen,no,other
F,56,married,0,,white,citizen,yes,english
F,34,married,36,40,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
F,83,not married,0,,white,citizen,yes,english
F,16,not married,0,,black,citizen,yes,english
M,32,married,40,40,white,citizen,yes,english
F,64,married,83,40,white,citizen,yes,english
M,79,married,3.6,60,white,citizen,yes,english
F,6,not married,NA,,other,citizen,yes,english
F,36,married,20,40,white,not citizen,yes,other
M,10,not married,NA,,white,citizen,yes,english
F,61,married,0,,white,citizen,yes,other
M,52,not married,72,36,white,citizen,yes,english
F,59,not married,0,17,white,citizen,yes,english
M,78,not married,0,,white,citizen,yes,english
F,34,married,0.4,40,white,citizen,yes,english
F,56,married,0,10,asian,not citizen,no,other
F,43,married,0,,white,citizen,no,english
M,52,not married,0,,other,citizen,yes,english
F,62,not married,5.9,25,other,citizen,no,english
M,51,married,2,30,asian,citizen,yes,english
M,4,not married,NA,,white,citizen,yes,english
M,51,married,80,40,white,citizen,yes,english
M,69,married,0,40,white,not citizen,yes,other
M,58,married,22.4,40,asian,citizen,yes,other
F,3,not married,NA,,black,citizen,yes,english
F,47,married,9,22,white,citizen,yes,english
F,74,not married,0,,white,citizen,yes,english
M,63,married,0,,white,citizen,yes,english
M,6,not married,NA,,black,citizen,yes,english
F,75,not married,7.7,32,black,citizen,yes,english
F,16,not married,0,,white,citizen,yes,english
M,26,married,19,40,white,citizen,no,english
M,53,not married,8,46,white,citizen,no,english
M,31,married,0.5,48,white,citizen,yes,english
F,6,not married,NA,,white,citizen,yes,english
F,60,married,60,40,white,citizen,yes,english
M,82,married,0.9,7,white,citizen,yes,english
F,61,not married,0,,other,citizen,yes,english
M,66,married,37,42,white,not citizen,yes,other
F,81,married,0,,asian,citizen,yes,other
F,47,married,0,,white,citizen,yes,english
M,49,not married,40,50,white,citizen,no,english
M,8,not married,NA,,white,citizen,yes,english
F,25,not married,41,45,asian,citizen,yes,other
F,20,not married,14.4,40,white,citizen,no,english
M,78,married,0,,white,citizen,yes,other
F,0,not married,NA,,white,citizen,yes,english
F,70,not married,0,,white,citizen,yes,english
M,29,not married,30,40,white,citizen,yes,other
F,5,not married,NA,,black,citizen,yes,english
M,17,not married,0,,black,citizen,no,english
M,72,married,67,80,white,citizen,yes,english
M,52,married,115,40,black,citizen,yes,english
F,55,not married,55,40,white,citizen,yes,english
M,50,not married,0,,asian,citizen,no,other
M,76,married,5,40,white,citizen,yes,english
F,65,married,0,,white,citizen,yes,english
M,61,married,20.2,55,white,citizen,yes,english
M,25,not married,7.7,40,white,citizen,yes,english
F,94,not married,0,,white,citizen,yes,english
F,49,married,0,,white,citizen,yes,english
F,67,married,15,30,white,citizen,yes,english
F,15,not married,0,,white,citizen,yes,english
M,47,married,0,,white,citizen,yes,english
M,54,married,0,,white,citizen,yes,english
M,64,married,15,30,white,citizen,yes,english
F,55,married,0,,black,citizen,yes,english
M,46,married,0,40,white,citizen,yes,english
M,59,married,0,,black,citizen,yes,english
F,43,married,0,,white,citizen,yes,english
M,44,not married,0,20,asian,citizen,no,english
M,21,not married,0,,white,citizen,no,english
F,9,not married,NA,,white,citizen,yes,english
M,73,married,8,20,white,citizen,yes,english
M,24,not married,52,44,white,citizen,yes,english
M,8,not married,NA,,white,citizen,no,other
F,19,married,0,,white,not citizen,yes,other
M,11,not married,NA,,white,citizen,yes,english
M,32,married,60,50,white,citizen,yes,english
F,39,not married,57,40,black,citizen,yes,english
M,25,not married,15,32,white,citizen,no,english
F,62,married,0,,white,citizen,yes,english
F,19,not married,1.5,25,white,citizen,yes,english
F,18,not married,0,,white,citizen,no,english
F,44,married,21,24,white,citizen,yes,english
M,31,not married,92,60,black,citizen,yes,english
M,50,not married,0,6,white,citizen,yes,english
F,6,not married,NA,,white,citizen,yes,english
M,32,not married,65,70,white,citizen,yes,english
M,8,not married,NA,,other,citizen,yes,other
M,12,not married,NA,,white,not citizen,yes,other
M,47,married,36,40,white,citizen,yes,english
F,63,not married,0,,white,citizen,yes,english
F,42,not married,60,40,black,citizen,yes,english
M,4,not married,NA,,white,citizen,yes,english
M,58,married,42,40,white,citizen,yes,other
M,61,married,108,45,white,citizen,yes,english
F,81,not married,0,,white,citizen,yes,english
F,38,married,41,40,white,citizen,yes,english
M,25,married,5,70,white,citizen,yes,english
M,20,not married,0,,other,citizen,no,other
M,60,married,37,40,white,citizen,yes,english
F,10,not married,NA,,white,citizen,no,other
M,85,married,0,,white,citizen,yes,english
M,6,not married,NA,,black,citizen,yes,english
M,69,not married,0,,white,citizen,yes,other
F,10,not married,NA,,white,citizen,yes,english
F,77,not married,0,,white,citizen,yes,english
F,46,married,0,,white,citizen,yes,english
F,78,married,0,,white,citizen,yes,english
M,69,married,0,,asian,not citizen,yes,other
F,34,married,0,,other,citizen,yes,english
M,4,not married,NA,,asian,citizen,yes,english
F,54,married,0,,white,citizen,yes,english
F,70,not married,0,,other,citizen,yes,english
M,11,not married,NA,,other,citizen,yes,other
F,71,married,0,,white,citizen,yes,english
M,4,not married,NA,,black,citizen,yes,english
F,51,married,0,,white,citizen,yes,english
M,60,married,60,40,white,citizen,yes,english
F,16,not married,0.49,8,white,citizen,yes,english
M,59,married,21.6,30,white,citizen,yes,english
F,3,not married,NA,,white,citizen,yes,english
M,77,not married,0,,white,citizen,yes,english
F,3,not married,NA,,white,citizen,yes,english
M,45,not married,10,50,black,citizen,yes,english
M,53,not married,0,,white,citizen,yes,english
M,86,married,0,,white,citizen,yes,english
M,49,married,50,37,black,citizen,yes,english
M,13,not married,NA,,other,citizen,yes,other
F,27,not married,2,40,asian,citizen,yes,other
M,49,married,56,40,white,citizen,yes,english
M,56,married,80,40,asian,citizen,yes,other
M,28,not married,28,37,asian,citizen,yes,other
M,61,married,0,,white,citizen,yes,other
M,54,married,46,40,asian,citizen,yes,other
F,59,not married,16,40,white,citizen,no,english
F,62,not married,0,1,white,citizen,yes,english
F,19,not married,2.1,8,white,citizen,yes,english
F,22,not married,1.9,16,white,citizen,yes,english
F,35,not married,0,,black,citizen,yes,english
M,6,not married,NA,,other,not citizen,yes,other
M,16,not married,0,,white,citizen,yes,english
F,38,married,46,44,white,citizen,yes,english
F,41,married,24.7,24,black,citizen,yes,english
F,12,not married,NA,,white,citizen,yes,english
M,35,married,0,40,white,citizen,yes,english
M,32,not married,40,40,white,not citizen,yes,other
M,9,not married,NA,,white,citizen,yes,other
F,24,married,0,,white,citizen,no,english
F,27,not married,14.4,30,white,citizen,yes,english
F,53,married,29,40,white,citizen,yes,english
F,38,not married,32,40,white,citizen,yes,english
M,36,not married,0,,black,citizen,no,english
F,74,not married,5,10,white,citizen,yes,english
M,40,married,52,40,white,citizen,yes,english
M,7,not married,NA,,black,citizen,yes,english
F,83,not married,0,,white,citizen,yes,english
F,24,not married,10,35,white,citizen,no,other
F,50,not married,13.1,50,white,citizen,yes,english
F,76,married,0,,white,citizen,yes,english
M,63,married,19.3,15,white,citizen,yes,english
F,26,married,9,20,white,citizen,yes,english
F,20,not married,17,35,white,citizen,no,english
M,54,married,60,40,white,citizen,yes,english
F,66,not married,0,,black,citizen,yes,english
F,42,married,0,,white,citizen,yes,english
F,23,not married,1.8,40,white,citizen,yes,english
F,68,not married,0,,white,citizen,yes,english
F,33,not married,0,,white,citizen,yes,english
F,47,married,11,30,white,citizen,yes,english
M,13,not married,NA,,white,not citizen,yes,other
M,51,married,47,40,black,citizen,yes,english
M,73,married,0,,white,citizen,yes,english
M,23,not married,5.3,35,white,citizen,yes,english
F,4,not married,NA,,white,citizen,yes,english
M,0,not married,NA,,black,citizen,yes,english
F,78,married,0,,white,citizen,yes,english
M,18,not married,0.3,4,white,citizen,yes,other
F,59,not married,18,40,other,citizen,yes,other
F,62,married,0,,asian,citizen,yes,other
F,6,not married,NA,,white,citizen,yes,english
F,56,married,0,,white,citizen,yes,english
F,7,not married,NA,,black,citizen,yes,english
F,4,not married,NA,,white,citizen,yes,english
F,51,not married,0,,white,citizen,yes,english
M,63,married,69,80,white,citizen,yes,english
F,15,not married,0,,white,citizen,yes,english
F,58,married,65,55,white,citizen,yes,english
M,0,not married,NA,,white,citizen,yes,english
F,53,married,110,55,white,citizen,yes,english
M,25,not married,27,40,black,citizen,no,english
F,72,not married,0,,white,citizen,yes,english
F,47,not married,35.3,38,white,citizen,yes,english
M,72,married,0,,white,citizen,yes,english
F,90,not married,0,,white,citizen,yes,other
M,20,not married,0.7,20,white,citizen,no,english
F,34,not married,0,,black,citizen,no,english
M,2,not married,NA,,white,citizen,yes,english
M,32,married,0,99,white,citizen,no,other
M,11,not married,NA,,white,citizen,yes,english
F,5,not married,NA,,white,citizen,yes,english
M,40,not married,318,40,white,citizen,yes,english
M,13,not married,NA,,other,citizen,yes,english
F,25,not married,23,25,white,citizen,yes,english
F,10,not married,NA,,white,citizen,yes,english
M,10,not married,NA,,white,citizen,yes,english
M,28,not married,0,,black,citizen,no,english
F,50,not married,0,,black,citizen,yes,english
M,22,not married,0,,white,citizen,yes,english
M,72,married,0,,white,citizen,yes,english
F,31,married,22,30,white,citizen,yes,english
M,10,not married,NA,,black,citizen,yes,english
M,58,not married,0,,black,citizen,yes,english
M,39,married,48,40,white,citizen,yes,english
M,45,married,0.78,20,white,citizen,yes,english
M,56,not married,0,,white,citizen,no,english
M,67,married,0,,white,citizen,yes,other
F,56,married,0,10,white,citizen,yes,english
M,69,not married,0,,white,citizen,yes,english
F,10,not married,NA,,asian,citizen,yes,english
F,38,married,7,17,white,citizen,no,other
F,42,married,32,24,white,citizen,yes,english
F,7,not married,NA,,asian,citizen,yes,english
F,15,not married,0,,white,citizen,yes,english
F,80,not married,0,,white,citizen,yes,other
M,62,married,19.2,8,white,citizen,yes,english
M,41,not married,0,40,white,not citizen,no,other
F,21,not married,3.8,25,white,citizen,yes,english
F,72,married,0,,white,citizen,yes,english
M,25,not married,40,40,other,citizen,yes,other
F,28,not married,18,36,black,not citizen,no,english
F,19,not married,0,,white,citizen,yes,english
F,75,not married,0,,black,citizen,yes,english
M,48,not married,24,40,other,citizen,no,other
F,4,not married,NA,,white,citizen,yes,english
F,68,not married,0,,white,citizen,yes,english
M,50,married,41.7,40,white,citizen,yes,other
F,59,married,0,,white,citizen,yes,english
M,54,married,35,43,white,citizen,yes,english
F,29,married,0,20,other,citizen,no,english
F,49,married,0,,white,citizen,yes,english
M,1,not married,NA,,white,citizen,yes,english
M,7,not married,NA,,asian,citizen,yes,english
F,62,married,0,,white,citizen,yes,english
F,59,not married,48.3,40,white,citizen,yes,english
F,16,not married,0,,white,citizen,yes,english
M,63,married,0,,asian,citizen,no,other
F,43,not married,0,,white,citizen,yes,english
M,6,not married,NA,,white,citizen,yes,english
F,0,not married,NA,,other,not citizen,no,english
F,28,married,36,40,white,citizen,yes,english
F,59,not married,0,,white,citizen,no,english
F,57,married,27,40,white,citizen,yes,english
F,75,not married,0,,white,citizen,yes,english
F,62,married,0,,white,citizen,yes,english
M,47,not married,10.3,27,white,citizen,yes,english
F,53,not married,5,40,white,citizen,no,english
F,54,not married,54,39,white,citizen,yes,english
M,61,married,22.5,40,white,citizen,yes,english
F,76,not married,0,,white,citizen,yes,english
F,59,married,16.5,40,white,citizen,yes,english
M,27,not married,45,40,white,citizen,yes,english
M,17,not married,0,,white,citizen,yes,english
M,82,married,0,,white,citizen,yes,english
F,67,not married,0,6,white,citizen,yes,english
M,37,not married,29,40,white,citizen,yes,english
F,71,married,0,,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
M,63,married,67,46,white,citizen,yes,english
M,9,not married,NA,,white,citizen,yes,english
F,55,not married,32,40,white,citizen,yes,english
F,20,not married,0.5,20,white,citizen,yes,english
F,3,not married,NA,,other,citizen,yes,english
F,7,not married,NA,,white,citizen,no,english
F,16,not married,0,,white,citizen,no,english
F,16,not married,0.1,2,white,citizen,yes,other
M,66,married,0,,white,citizen,yes,english
F,56,not married,0,,white,citizen,yes,other
M,7,not married,NA,,asian,citizen,yes,other
M,4,not married,NA,,black,citizen,yes,english
M,53,not married,2,16,white,citizen,yes,english
M,22,married,15,42,asian,citizen,yes,english
F,50,married,0,,other,not citizen,yes,other
F,13,not married,NA,,white,citizen,yes,other
M,28,married,35,40,white,citizen,yes,english
M,1,not married,NA,,white,citizen,yes,english
F,36,married,0.54,30,black,citizen,yes,other
F,4,not married,NA,,other,citizen,yes,english
M,24,not married,2,10,white,citizen,yes,english
F,2,not married,NA,,white,citizen,yes,english
M,37,married,0,,white,citizen,yes,english
M,29,married,0,,white,citizen,yes,english
M,18,not married,3.7,32,white,citizen,yes,english
F,80,not married,0,,white,citizen,yes,other
F,15,not married,0,,white,citizen,yes,english
M,1,not married,NA,,white,citizen,no,english
M,51,married,78,40,white,citizen,yes,english
F,18,not married,0.7,15,white,citizen,yes,english
M,78,married,0,,white,citizen,yes,english
M,46,not married,25,55,white,citizen,yes,other
M,39,married,80,40,white,citizen,yes,english
M,63,married,18.2,40,black,citizen,yes,english
F,46,married,40,56,other,citizen,yes,other
M,45,married,45.7,40,asian,not citizen,yes,other
F,13,not married,NA,,black,citizen,yes,english
F,40,married,1.9,20,white,citizen,no,english
F,59,not married,8,24,white,citizen,yes,english
F,30,married,5,48,white,not citizen,yes,other
M,41,married,0,,white,citizen,yes,english
F,5,not married,NA,,white,citizen,yes,english
F,84,married,0,,white,citizen,yes,english
M,40,married,21.1,40,white,citizen,yes,english
M,29,not married,47,75,asian,citizen,yes,english
F,35,married,0,,white,not citizen,yes,other
M,3,not married,NA,,white,citizen,yes,english
F,11,not married,NA,,white,citizen,yes,english
F,43,not married,0,,black,citizen,yes,english
F,29,married,32,40,white,citizen,yes,english
F,35,married,0,,white,not citizen,yes,other
M,45,married,50,40,white,citizen,yes,english
M,24,not married,0,,black,citizen,no,english
M,45,not married,0,,white,citizen,yes,english
M,35,not married,16,60,white,citizen,no,english
F,18,not married,0,,black,citizen,yes,english
M,11,not married,NA,,white,citizen,yes,english
F,80,not married,0,,asian,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
F,41,not married,25,65,white,citizen,yes,english
M,4,not married,NA,,white,citizen,yes,english
M,24,not married,5.6,10,white,citizen,yes,english
M,56,not married,0,,black,citizen,yes,english
M,77,married,0,,white,citizen,yes,english
M,57,married,27,40,white,citizen,yes,english
M,43,married,40,40,white,not citizen,yes,other
M,40,married,42,40,white,citizen,yes,english
M,48,married,330,65,white,citizen,yes,english
M,43,married,52,40,other,citizen,yes,other
M,32,married,45,50,white,citizen,yes,english
F,66,not married,0,,black,citizen,yes,english
M,7,not married,NA,,white,citizen,yes,english
M,62,not married,35,32,asian,citizen,yes,other
F,71,not married,0,,white,citizen,yes,english
F,77,not married,0,,asian,citizen,yes,other
F,59,not married,0,60,white,citizen,no,english
M,46,married,50,40,white,citizen,yes,english
M,32,married,70,40,asian,citizen,yes,other
M,0,not married,NA,,white,citizen,yes,english
F,27,not married,36,45,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
F,21,not married,6,30,white,citizen,yes,english
M,67,married,0,,white,citizen,yes,english
F,21,married,19,38,white,citizen,yes,english
M,28,not married,0,,white,citizen,yes,english
F,59,married,0,,white,citizen,yes,english
F,59,married,0,,white,not citizen,no,other
F,26,not married,0,10,white,citizen,yes,other
M,61,married,25,50,white,citizen,yes,english
F,19,not married,7,20,white,citizen,yes,english
M,7,not married,NA,,white,citizen,yes,other
F,73,married,0,,white,citizen,yes,english
M,38,not married,22,60,asian,citizen,yes,english
M,58,married,18,40,white,citizen,yes,english
F,9,not married,NA,,white,citizen,yes,english
F,27,married,0,40,white,not citizen,no,other
M,49,not married,0,,white,citizen,no,english
F,13,not married,NA,,white,citizen,yes,other
F,49,married,22.7,36,white,citizen,yes,english
M,13,not married,NA,,black,citizen,yes,english
F,41,married,110,40,black,citizen,yes,english
M,53,not married,26,40,white,citizen,yes,english
M,49,not married,32,40,white,citizen,yes,english
F,20,not married,3.5,15,white,citizen,yes,english
M,10,not married,NA,,white,citizen,no,english
F,7,not married,NA,,other,citizen,yes,english
M,33,not married,125,40,white,citizen,yes,other
F,74,married,0,,black,citizen,yes,english
M,20,not married,0,,white,citizen,no,other
F,15,not married,0,,white,citizen,yes,other
M,44,married,96,40,white,citizen,yes,other
F,50,not married,40,99,white,citizen,no,english
F,90,not married,0,,white,citizen,yes,english
F,50,married,0,,other,citizen,no,other
M,38,married,80,40,white,citizen,yes,english
F,16,not married,0,,white,citizen,yes,english
F,55,married,6,40,white,citizen,yes,english
M,49,married,45.6,35,white,citizen,yes,english
F,2,not married,NA,,white,citizen,yes,english
F,78,not married,0,,white,citizen,yes,english
M,6,not married,NA,,white,citizen,yes,english
F,52,married,16,15,white,citizen,yes,other
F,37,married,13,40,white,citizen,yes,other
M,58,married,36,40,white,citizen,yes,english
F,3,not married,NA,,white,citizen,yes,english
F,69,married,0,,asian,citizen,yes,other
F,66,married,48,40,white,citizen,yes,english
F,53,married,55,40,asian,citizen,yes,other
F,82,not married,0,,white,citizen,yes,english
F,5,not married,NA,,asian,citizen,yes,english
M,24,not married,48,48,other,citizen,yes,other
M,1,not married,NA,,black,citizen,yes,english
M,35,married,40,40,white,citizen,no,english
F,25,married,40,40,white,citizen,yes,english
M,36,married,80,80,other,citizen,yes,english
F,13,not married,NA,,white,citizen,yes,english
F,68,not married,13,24,white,citizen,yes,english
M,63,married,0,,asian,not citizen,yes,other
M,5,not married,NA,,black,citizen,yes,english
F,47,married,23.6,40,white,citizen,yes,english
F,25,not married,26.9,40,white,citizen,yes,english
F,48,married,8.5,40,white,citizen,yes,english
F,63,married,26,40,asian,citizen,yes,other
F,3,not married,NA,,other,citizen,yes,english
M,6,not married,NA,,white,citizen,yes,english
F,41,married,0,,white,not citizen,no,other
F,4,not married,NA,,white,citizen,yes,english
F,16,not married,0,,white,citizen,yes,english
F,25,not married,15,60,asian,citizen,yes,other
M,64,not married,20,40,white,citizen,yes,english
F,61,married,0,30,white,citizen,no,english
M,21,not married,25,24,asian,citizen,yes,other
F,29,not married,40,40,white,citizen,yes,english
F,0,not married,NA,,white,citizen,yes,english
M,72,married,0,,white,citizen,yes,english
F,53,not married,176,50,white,citizen,yes,english
F,19,not married,6.6,15,black,citizen,yes,english
F,19,not married,9.6,32,white,citizen,yes,english
